id,name,handle,platform,date,time,post_text,misinfo_type,reach,img,user_link,post_link
23,Timothy Parsons,@theBozo,Twitter,2020-01-02,08:04,Disaster alternative earth supply.,Not humans,59,img_494.jpg,https://www.example.com/,https://www.example.com/
49,Timothy Parsons,@notAHandle,YouTube,2020-01-03,04:54,Contamination wildlife acidification technology biomass corridors.,Solutions won't work,243,img_484.jpg,https://www.example.com/,https://www.example.com/
498,Amber Wilson,@dumbHandle,Other,2020-01-12,08:42,Agroforestry ecosystems food consumerism endangered carbon.,Solutions won't work,120,img_477.jpg,https://www.example.com/,https://www.example.com/
29,Joseph Miller,@john214394343,TikTok,2020-01-19,06:38,Regulations cities biomass analysis.,Not humans,144,img_296.jpg,https://www.example.com/,https://www.example.com/
19,Robert Reyes,@notAHandle,Twitter,2020-01-20,02:02,Carbon smart electric wetlands innovation coastal.,Not humans,319,img_476.jpg,https://www.example.com/,https://www.example.com/
35,Christopher Barrett,@notAHandle,Other,2020-01-25,17:46,Energy land drought fuel chain solar.,Not bad,451,img_98.jpg,https://www.example.com/,https://www.example.com/
43,Joseph Miller,@notAHandle,TikTok,2020-01-25,23:13,Floods sea chain regulations biodegradable nuclear energy science.,Solutions won't work,17,img_471.jpg,https://www.example.com/,https://www.example.com/
7,Joseph Miller,@justSomeSillyLittleGuy,TikTok,2020-01-26,06:23,Offsets fuels melting action natural mitigation earthquake erosion.,Not humans,500,img_214.jpg,https://www.example.com/,https://www.example.com/
6,Jeanette Jackson,@anotherFake_handle,TikTok,2020-01-30,17:46,Renewables storm weatherproofing arctic herbicides public.,Scientists are unreliable,45,img_207.jpg,https://www.example.com/,https://www.example.com/
14,Timothy Parsons,@thisIsATest,TikTok,2020-02-16,15:20,Policy ecosystems warming environmental adaptation.,Not humans,492,img_179.jpg,https://www.example.com/,https://www.example.com/
50,Sophia Bush,@notAHandle,Twitter,2020-02-22,05:43,Herbicides bamboo habitat earth solar marine wildlife grid.,Scientists are unreliable,500,img_473.jpg,https://www.example.com/,https://www.example.com/
1,Joseph Miller,@notAHandle,YouTube,2020-02-26,19:35,Greenwashing desertification production warming action offsets offsets.,Solutions won't work,177,img_34.jpg,https://www.example.com/,https://www.example.com/
31,Amber Wilson,@theBozo,Twitter,2020-02-27,00:37,Mitigation hurricane green.,Not happening,455,img_330.jpg,https://www.example.com/,https://www.example.com/
26,Kevin Alexander,@THE_CLIMATE_NEWS,Twitter,2020-03-07,09:59,Geothermal wetlands water cycle chain.,Scientists are unreliable,500,img_79.jpg,https://www.example.com/,https://www.example.com/
44,Sophia Bush,@anotherFake_handle,Other,2020-03-08,18:20,Research heat consumerism energy climate degradation.,Not humans,146,img_26.jpg,https://www.example.com/,https://www.example.com/
52,Michelle Rivers,@thisIsATest,TikTok,2020-03-10,01:10,Technology earth panels.,Not happening,500,img_7.jpg,https://www.example.com/,https://www.example.com/
5,Kevin Alexander,@justSomeSillyLittleGuy,Other,2020-03-11,12:24,Biodiversity bamboo fuel climate bicycles desertification human.,Not bad,90,img_422.jpg,https://www.example.com/,https://www.example.com/
58,Jonathon Keller,@theBozo,Other,2020-03-12,08:01,Smog supply forest parks.,Not happening,500,img_142.jpg,https://www.example.com/,https://www.example.com/
21,Amber Wilson,@justSomeSillyLittleGuy,Twitter,2020-03-18,08:31,Peatlands conservation weather sustainability.,Solutions won't work,304,img_430.jpg,https://www.example.com/,https://www.example.com/
46,Jonathon Keller,@exampleName,YouTube,2020-03-22,03:15,Misinformation environmental erosion earthquake plastic air innovation organic.,Solutions won't work,500,img_402.jpg,https://www.example.com/,https://www.example.com/
40,Christopher Barrett,@THE_CLIMATE_NEWS,YouTube,2020-03-27,10:20,Smart innovation energy air.,Scientists are unreliable,140,img_354.jpg,https://www.example.com/,https://www.example.com/
4,Sophia Bush,@theBozo,Twitter,2020-04-02,02:19,Coastal industrial panels offsets.,Not happening,281,img_16.jpg,https://www.example.com/,https://www.example.com/
28,Robert Reyes,@justSomeSillyLittleGuy,Other,2020-04-02,12:44,Trading action technology farming land.,Not bad,385,img_188.jpg,https://www.example.com/,https://www.example.com/
48,Amber Wilson,@dumbHandle,Twitter,2020-04-03,18:28,Desertification projections supply floods models.,Scientists are unreliable,500,img_213.jpg,https://www.example.com/,https://www.example.com/
27,Jonathon Keller,@notAHandle,TikTok,2020-04-23,16:33,Living production temperature eco-friendly resilience.,Not happening,500,img_499.jpg,https://www.example.com/,https://www.example.com/
41,Jeanette Jackson,@theBozo,Other,2020-04-26,12:26,Quality waste management footprint pesticide national wind.,Solutions won't work,500,img_119.jpg,https://www.example.com/,https://www.example.com/
54,Michelle Rivers,@notAHandle,YouTube,2020-04-30,01:15,Biodegradable forest degradation renewables.,Scientists are unreliable,500,img_15.jpg,https://www.example.com/,https://www.example.com/
10,Sophia Bush,@thisIsATest,YouTube,2020-05-03,10:01,Carbon rainforest weatherproofing farming ecosystem melting agriculture.,Solutions won't work,25,img_209.jpg,https://www.example.com/,https://www.example.com/
11,Timothy Parsons,@THE_CLIMATE_NEWS,Other,2020-05-04,12:09,Monoculture solar consumerism wetlands earth human biomass plastic.,Solutions won't work,500,img_352.jpg,https://www.example.com/,https://www.example.com/
59,Robert Reyes,@justSomeSillyLittleGuy,Twitter,2020-05-07,01:47,Green bicycles data sea sea.,Not bad,370,img_397.jpg,https://www.example.com/,https://www.example.com/
16,Jonathon Keller,@notAHandle,YouTube,2020-05-13,11:41,Warming geothermal corridors biodiversity.,Scientists are unreliable,500,img_40.jpg,https://www.example.com/,https://www.example.com/
13,Joseph Miller,@notAHandle,YouTube,2020-05-27,02:24,Biodiversity change ecosystem emissions.,Not humans,482,img_133.jpg,https://www.example.com/,https://www.example.com/
42,Jonathon Keller,@exampleName,YouTube,2020-05-27,12:11,Ecosystem water climate human natural herbicides hydropower.,Not happening,144,img_369.jpg,https://www.example.com/,https://www.example.com/
25,Jonathon Keller,@anotherFake_handle,YouTube,2020-06-03,12:13,Floods ecosystem innovation ozone bycatch fuel heat antarctic.,Not happening,64,img_100.jpg,https://www.example.com/,https://www.example.com/
30,Michelle Rivers,@anotherFake_handle,TikTok,2020-06-04,06:45,Consumerism bycatch biodegradable efficiency advocacy smog.,Scientists are unreliable,107,img_62.jpg,https://www.example.com/,https://www.example.com/
